model_label,node_group,node_group_label,operation,type_pair,target_role,src_label,dst_label,attack,short_attack,endpoint_pair,short_endpoint_pair,plot_label,count
Leaky selected,TN_near_threshold,TN (benign) near threshold,EVENT_EXECUTE,file->subject,src,file: /home/admin/Downloads/firefox/minidump-analyzer,subject: /home/admin/Downloads/firefox/crashreporter | /home/admin/Downloads/firefox/crashreporter /home/admin/.mozilla/firefox/pe11scpa.default/minidumps/07e29163-f1e5-ae68-5dea-557927c84a61.dmp,benign,benign,file: /home/admin/Downloads/firefox/minidump-analyzer -> subject: /home/admin/Downloads/firefox/crashreporter | /home/admin/Downloads/firefox/crashreporter /home/admin/.mozilla/firefox/pe11scpa.default/minidumps/07e29163-f1e5-ae68-5dea-557927c84a61.dmp,firefox/minidump-analyzer -> firefox/crashreporter,"file:* firefox/minidump-analyzer
-> process: firefox/crashreporter",1
Leaky selected,TN_near_threshold,TN (benign) near threshold,EVENT_EXECUTE,file->subject,dst,file: /home/admin/Downloads/firefox/minidump-analyzer,subject: /home/admin/Downloads/firefox/crashreporter | /home/admin/Downloads/firefox/crashreporter /home/admin/.mozilla/firefox/pe11scpa.default/minidumps/07e29163-f1e5-ae68-5dea-557927c84a61.dmp,benign,benign,file: /home/admin/Downloads/firefox/minidump-analyzer -> subject: /home/admin/Downloads/firefox/crashreporter | /home/admin/Downloads/firefox/crashreporter /home/admin/.mozilla/firefox/pe11scpa.default/minidumps/07e29163-f1e5-ae68-5dea-557927c84a61.dmp,firefox/minidump-analyzer -> firefox/crashreporter,"file: firefox/minidump-analyzer
-> process:* firefox/crashreporter",1
Leaky selected,TN_near_threshold,TN (benign) near threshold,EVENT_EXECUTE,file->subject,dst,file: /home/admin/Downloads/firefox/minidump-analyzer,subject: /home/admin/Downloads/firefox/crashreporter | /home/admin/Downloads/firefox/crashreporter /home/admin/.mozilla/firefox/pe11scpa.default/minidumps/0799dd00-8ed9-92dd-522f-2833a1096b1b.dmp,benign,benign,file: /home/admin/Downloads/firefox/minidump-analyzer -> subject: /home/admin/Downloads/firefox/crashreporter | /home/admin/Downloads/firefox/crashreporter /home/admin/.mozilla/firefox/pe11scpa.default/minidumps/0799dd00-8ed9-92dd-522f-2833a1096b1b.dmp,firefox/minidump-analyzer -> firefox/crashreporter,"file: firefox/minidump-analyzer
-> process:* firefox/crashreporter",1
Leaky selected,TN_near_threshold,TN (benign) near threshold,EVENT_EXECUTE,file->subject,dst,file: /home/admin/Downloads/firefox/minidump-analyzer,subject: /home/admin/Downloads/firefox/crashreporter | /home/admin/Downloads/firefox/crashreporter /home/admin/.mozilla/firefox/pe11scpa.default/minidumps/03414751-754c-7068-fadb-610163ea1d6e.dmp,benign,benign,file: /home/admin/Downloads/firefox/minidump-analyzer -> subject: /home/admin/Downloads/firefox/crashreporter | /home/admin/Downloads/firefox/crashreporter /home/admin/.mozilla/firefox/pe11scpa.default/minidumps/03414751-754c-7068-fadb-610163ea1d6e.dmp,firefox/minidump-analyzer -> firefox/crashreporter,"file: firefox/minidump-analyzer
-> process:* firefox/crashreporter",1
Leaky selected,TN_near_threshold,TN (benign) near threshold,EVENT_EXECUTE,file->subject,dst,file: /home/admin/Downloads/firefox/minidump-analyzer,subject: /home/admin/Downloads/firefox/crashreporter | /home/admin/Downloads/firefox/crashreporter /home/admin/.mozilla/firefox/pe11scpa.default/minidumps/61f6f5c4-cb92-ec22-eaa0-b6673dd9c134.dmp,benign,benign,file: /home/admin/Downloads/firefox/minidump-analyzer -> subject: /home/admin/Downloads/firefox/crashreporter | /home/admin/Downloads/firefox/crashreporter /home/admin/.mozilla/firefox/pe11scpa.default/minidumps/61f6f5c4-cb92-ec22-eaa0-b6673dd9c134.dmp,firefox/minidump-analyzer -> firefox/crashreporter,"file: firefox/minidump-analyzer
-> process:* firefox/crashreporter",1
Leaky selected,TN_near_threshold,TN (benign) near threshold,EVENT_EXECUTE,file->subject,src,file: /tmp/mozilla_admin0/jAG_iSHt.bin.part,subject: /bin/bash | bash,benign,benign,file: /tmp/mozilla_admin0/jAG_iSHt.bin.part -> subject: /bin/bash | bash,mozilla_admin0/jAG_iSHt.bin.part -> bin/bash,"file:* mozilla_admin0/jAG_iSHt.bin.part
-> process: bin/bash",1
Leaky selected,TN_near_threshold,TN (benign) near threshold,EVENT_EXECUTE,file->subject,dst,file: /tmp/mozilla_admin0/jAG_iSHt.bin.part,subject: /bin/bash | bash,benign,benign,file: /tmp/mozilla_admin0/jAG_iSHt.bin.part -> subject: /bin/bash | bash,mozilla_admin0/jAG_iSHt.bin.part -> bin/bash,"file: mozilla_admin0/jAG_iSHt.bin.part
-> process:* bin/bash",1
Leaky selected,TN_near_threshold,TN (benign) near threshold,EVENT_EXECUTE,file->subject,dst,file: /etc/firefox/native-messaging-hosts/pass_mgr,subject: /home/admin/Downloads/firefox/firefox | /usr/bin/firefox,benign,benign,file: /etc/firefox/native-messaging-hosts/pass_mgr -> subject: /home/admin/Downloads/firefox/firefox | /usr/bin/firefox,native-messaging-hosts/pass_mgr -> firefox/firefox,"file: native-messaging-hosts/pass_mgr
-> process:* firefox/firefox",1
Leaky selected,TN_near_threshold,TN (benign) near threshold,EVENT_EXECUTE,file->subject,src,file: /home/admin/Qt5.10.1/Tools/QtCreator/libexec/qtcreator/sdktool,subject: /home/admin/qt-opensource-linux-x64-5.10.1.run | ./qt-opensource-linux-x64-5.10.1.run,benign,benign,file: /home/admin/Qt5.10.1/Tools/QtCreator/libexec/qtcreator/sdktool -> subject: /home/admin/qt-opensource-linux-x64-5.10.1.run | ./qt-opensource-linux-x64-5.10.1.run,qtcreator/sdktool -> admin/qt-opensource-linux-x64-5.10.1.run,"file:* qtcreator/sdktool
-> process: admin/qt-opensource-linux-x64-5.10.1.run",1
Leaky selected,TN_near_threshold,TN (benign) near threshold,EVENT_SENDMSG,subject->netflow,src,subject: /usr/bin/fluxbox | fluxbox,netflow LOCAL:0->NA:0,benign,benign,subject: /usr/bin/fluxbox | fluxbox -> netflow LOCAL:0->NA:0,bin/fluxbox -> netflow LOCAL:0->NA:0,"process:* bin/fluxbox
-> netflow: netflow LOCAL:0->NA:0",1
Leaky selected,TN_near_threshold,TN (benign) near threshold,EVENT_SENDMSG,subject->netflow,src,subject: /home/admin/Downloads/firefox/firefox | /usr/bin/firefox,netflow LOCAL:0->NA:0,benign,benign,subject: /home/admin/Downloads/firefox/firefox | /usr/bin/firefox -> netflow LOCAL:0->NA:0,firefox/firefox -> netflow LOCAL:0->NA:0,"process:* firefox/firefox
-> netflow: netflow LOCAL:0->NA:0",1
Leaky selected,TP,TP,EVENT_EXECUTE,file->subject,src,file: /home/admin/clean,subject: /home/admin/clean,Firefox backdoor Drakon in-memory,Attack 1,file: /home/admin/clean -> subject: /home/admin/clean,admin/clean -> admin/clean,"file:* admin/clean
-> process: admin/clean",1
Leaky selected,TP,TP,EVENT_EXECUTE,file->subject,dst,file: /home/admin/clean,subject: /home/admin/clean,Firefox backdoor Drakon in-memory,Attack 1,file: /home/admin/clean -> subject: /home/admin/clean,admin/clean -> admin/clean,"file: admin/clean
-> process:* admin/clean",1
Leaky selected,TP,TP,EVENT_EXECUTE,file->subject,src,file: /home/admin/profile,subject: /home/admin/profile,Firefox backdoor Drakon in-memory,Attack 1,file: /home/admin/profile -> subject: /home/admin/profile,admin/profile -> admin/profile,"file:* admin/profile
-> process: admin/profile",1
Leaky selected,TP,TP,EVENT_EXECUTE,file->subject,dst,file: /home/admin/profile,subject: /home/admin/profile,Firefox backdoor Drakon in-memory,Attack 1,file: /home/admin/profile -> subject: /home/admin/profile,admin/profile -> admin/profile,"file: admin/profile
-> process:* admin/profile",1
Leaky selected,TP,TP,EVENT_EXECUTE,file->subject,src,file: /var/log/mail,subject: /var/log/mail,Browser extension Drakon dropper,Attack 0,file: /var/log/mail -> subject: /var/log/mail,log/mail -> log/mail,"file:* log/mail
-> process: log/mail",1
Leaky selected,TP,TP,EVENT_EXECUTE,file->subject,dst,file: /var/log/mail,subject: /var/log/mail,Browser extension Drakon dropper,Attack 0,file: /var/log/mail -> subject: /var/log/mail,log/mail -> log/mail,"file: log/mail
-> process:* log/mail",1
Leaky selected,TP,TP,EVENT_EXECUTE,file->subject,src,file: /etc/firefox/native-messaging-hosts/gtcache,subject: /bin/dash | /bin/sh -c ./gtcache &>/dev/null &,Browser extension Drakon dropper,Attack 0,file: /etc/firefox/native-messaging-hosts/gtcache -> subject: /bin/dash | /bin/sh -c ./gtcache &>/dev/null &,native-messaging-hosts/gtcache -> bin/dash,"file:* native-messaging-hosts/gtcache
-> process: bin/dash",1
Leaky selected,TP,TP,EVENT_EXECUTE,file->subject,dst,file: /etc/firefox/native-messaging-hosts/gtcache,subject: /bin/dash | /bin/sh -c ./gtcache &>/dev/null &,Browser extension Drakon dropper,Attack 0,file: /etc/firefox/native-messaging-hosts/gtcache -> subject: /bin/dash | /bin/sh -c ./gtcache &>/dev/null &,native-messaging-hosts/gtcache -> bin/dash,"file: native-messaging-hosts/gtcache
-> process:* bin/dash",1
Non-leaky selected,FN,FN,EVENT_SENDTO,subject->netflow,src,subject: /etc/firefox/native-messaging-hosts/gtcache | ./gtcache,netflow 128.55.12.110:49721->146.153.68.151:80,Browser extension Drakon dropper,Attack 0,subject: /etc/firefox/native-messaging-hosts/gtcache | ./gtcache -> netflow 128.55.12.110:49721->146.153.68.151:80,native-messaging-hosts/gtcache -> netflow 128.55.12.110:49721->146.153.68.151:80,"process:* native-messaging-hosts/gtcache
-> netflow: netflow 128.55.12.110:49721->146.153.68.151:80",21
Non-leaky selected,FN,FN,EVENT_SENDTO,subject->netflow,src,subject: /home/admin/clean (deleted) | /home/admin/clean,netflow 128.55.12.110:45226->161.116.88.72:80,Firefox backdoor Drakon in-memory,Attack 1,subject: /home/admin/clean (deleted) | /home/admin/clean -> netflow 128.55.12.110:45226->161.116.88.72:80,admin/clean (deleted) -> netflow 128.55.12.110:45226->161.116.88.72:80,"process:* admin/clean (deleted)
-> netflow: netflow 128.55.12.110:45226->161.116.88.72:80",15
Non-leaky selected,FN,FN,EVENT_SENDTO,subject->netflow,src,subject: /home/admin/Downloads/firefox/firefox | /usr/bin/firefox,netflow 128.55.12.110:44354->146.153.68.151:80,Firefox backdoor Drakon in-memory,Attack 1,subject: /home/admin/Downloads/firefox/firefox | /usr/bin/firefox -> netflow 128.55.12.110:44354->146.153.68.151:80,firefox/firefox -> netflow 128.55.12.110:44354->146.153.68.151:80,"process:* firefox/firefox
-> netflow: netflow 128.55.12.110:44354->146.153.68.151:80",7
Non-leaky selected,FN,FN,EVENT_CLONE,subject->subject,dst,subject: /bin/dash | /bin/sh -c ./gtcache &>/dev/null &,subject: /etc/firefox/native-messaging-hosts/gtcache | ./gtcache,Browser extension Drakon dropper,Attack 0,subject: /bin/dash | /bin/sh -c ./gtcache &>/dev/null & -> subject: /etc/firefox/native-messaging-hosts/gtcache | ./gtcache,bin/dash -> native-messaging-hosts/gtcache,"process: bin/dash
-> process:* native-messaging-hosts/gtcache",5
Non-leaky selected,FN,FN,EVENT_SENDTO,subject->netflow,src,subject: /home/admin/Downloads/firefox/firefox | /usr/bin/firefox,netflow 128.55.12.110:44411->146.153.68.151:80,Firefox backdoor Drakon in-memory,Attack 1,subject: /home/admin/Downloads/firefox/firefox | /usr/bin/firefox -> netflow 128.55.12.110:44411->146.153.68.151:80,firefox/firefox -> netflow 128.55.12.110:44411->146.153.68.151:80,"process:* firefox/firefox
-> netflow: netflow 128.55.12.110:44411->146.153.68.151:80",5
Non-leaky selected,FN,FN,EVENT_READ,file->subject,dst,file: /etc/passwd,subject: /home/admin/Downloads/firefox/firefox | /usr/bin/firefox,Firefox backdoor Drakon in-memory,Attack 1,file: /etc/passwd -> subject: /home/admin/Downloads/firefox/firefox | /usr/bin/firefox,etc/passwd -> firefox/firefox,"file: etc/passwd
-> process:* firefox/firefox",4
Non-leaky selected,FN,FN,EVENT_READ,file->subject,dst,file: /etc/passwd,subject: /etc/firefox/native-messaging-hosts/gtcache | ./gtcache,Browser extension Drakon dropper,Attack 0,file: /etc/passwd -> subject: /etc/firefox/native-messaging-hosts/gtcache | ./gtcache,etc/passwd -> native-messaging-hosts/gtcache,"file: etc/passwd
-> process:* native-messaging-hosts/gtcache",3
Non-leaky selected,FN,FN,EVENT_SENDTO,subject->netflow,src,subject: /home/admin/profile (deleted) | /home/admin/profile,netflow 128.55.12.110:45668->161.116.88.72:80,Firefox backdoor Drakon in-memory,Attack 1,subject: /home/admin/profile (deleted) | /home/admin/profile -> netflow 128.55.12.110:45668->161.116.88.72:80,admin/profile (deleted) -> netflow 128.55.12.110:45668->161.116.88.72:80,"process:* admin/profile (deleted)
-> netflow: netflow 128.55.12.110:45668->161.116.88.72:80",3
Non-leaky selected,FN,FN,EVENT_EXECUTE,file->subject,dst,file: /home/admin/Downloads/firefox/firefox,subject: /usr/bin/fluxbox | fluxbox,Firefox backdoor Drakon in-memory,Attack 1,file: /home/admin/Downloads/firefox/firefox -> subject: /usr/bin/fluxbox | fluxbox,firefox/firefox -> bin/fluxbox,"file: firefox/firefox
-> process:* bin/fluxbox",2
Non-leaky selected,FN,FN,EVENT_READ,file->subject,dst,file: /dev/urandom,subject: /home/admin/Downloads/firefox/firefox | /usr/bin/firefox,Firefox backdoor Drakon in-memory,Attack 1,file: /dev/urandom -> subject: /home/admin/Downloads/firefox/firefox | /usr/bin/firefox,dev/urandom -> firefox/firefox,"file: dev/urandom
-> process:* firefox/firefox",2
Non-leaky selected,FN,FN,EVENT_READ,file->subject,dst,file: /lib/x86_64-linux-gnu/libc-2.15.so,subject: /var/log/mail,Browser extension Drakon dropper,Attack 0,file: /lib/x86_64-linux-gnu/libc-2.15.so -> subject: /var/log/mail,x86_64-linux-gnu/libc-2.15.so -> log/mail,"file: x86_64-linux-gnu/libc-2.15.so
-> process:* log/mail",2
Non-leaky selected,FN,FN,EVENT_CONNECT,subject->netflow,dst,subject: /home/admin/clean,netflow 128.55.12.110:45226->161.116.88.72:80,Firefox backdoor Drakon in-memory,Attack 1,subject: /home/admin/clean -> netflow 128.55.12.110:45226->161.116.88.72:80,admin/clean -> netflow 128.55.12.110:45226->161.116.88.72:80,"process: admin/clean
-> netflow:* netflow 128.55.12.110:45226->161.116.88.72:80",1
Non-leaky selected,FN,FN,EVENT_CONNECT,subject->netflow,dst,subject: /bin/dash | /bin/sh -c ./gtcache &>/dev/null &,netflow 128.55.12.110:49721->146.153.68.151:80,Browser extension Drakon dropper,Attack 0,subject: /bin/dash | /bin/sh -c ./gtcache &>/dev/null & -> netflow 128.55.12.110:49721->146.153.68.151:80,bin/dash -> netflow 128.55.12.110:49721->146.153.68.151:80,"process: bin/dash
-> netflow:* netflow 128.55.12.110:49721->146.153.68.151:80",1
Non-leaky selected,FN,FN,EVENT_CONNECT,subject->netflow,dst,subject: /bin/dash | sh -c \n\t\treload rsyslog >/dev/null 2>&1 || true\n logrotate_script /var/log/syslog.1,netflow LOCAL:0->NA:0,Firefox backdoor Drakon in-memory,Attack 1,subject: /bin/dash | sh -c \n\t\treload rsyslog >/dev/null 2>&1 || true\n logrotate_script /var/log/syslog.1 -> netflow LOCAL:0->NA:0,bin/dash -> netflow LOCAL:0->NA:0,"process: bin/dash
-> netflow:* netflow LOCAL:0->NA:0",1
Non-leaky selected,FN,FN,EVENT_CONNECT,subject->netflow,dst,subject: /home/admin/Downloads/firefox/firefox | /usr/bin/firefox,netflow 128.55.12.110:38445->141.43.176.203:80,Browser extension Drakon dropper,Attack 0,subject: /home/admin/Downloads/firefox/firefox | /usr/bin/firefox -> netflow 128.55.12.110:38445->141.43.176.203:80,firefox/firefox -> netflow 128.55.12.110:38445->141.43.176.203:80,"process: firefox/firefox
-> netflow:* netflow 128.55.12.110:38445->141.43.176.203:80",1
Non-leaky selected,FN,FN,EVENT_CONNECT,subject->netflow,dst,subject: /home/admin/Downloads/firefox/firefox | /usr/bin/firefox,netflow 128.55.12.110:38467->141.43.176.203:80,Browser extension Drakon dropper,Attack 0,subject: /home/admin/Downloads/firefox/firefox | /usr/bin/firefox -> netflow 128.55.12.110:38467->141.43.176.203:80,firefox/firefox -> netflow 128.55.12.110:38467->141.43.176.203:80,"process: firefox/firefox
-> netflow:* netflow 128.55.12.110:38467->141.43.176.203:80",1
Non-leaky selected,FN,FN,EVENT_CONNECT,subject->netflow,dst,subject: /home/admin/Downloads/firefox/firefox | /usr/bin/firefox,netflow 128.55.12.110:44354->146.153.68.151:80,Firefox backdoor Drakon in-memory,Attack 1,subject: /home/admin/Downloads/firefox/firefox | /usr/bin/firefox -> netflow 128.55.12.110:44354->146.153.68.151:80,firefox/firefox -> netflow 128.55.12.110:44354->146.153.68.151:80,"process: firefox/firefox
-> netflow:* netflow 128.55.12.110:44354->146.153.68.151:80",1
Non-leaky selected,FN,FN,EVENT_OPEN,file->subject,src,file: /etc/ld.so.cache,subject: /usr/bin/find | find /var/crash/. ! -name . -prune -type f ( ( -size 0 -a ! -name *.upload* ) -o -mtime +7 ) -exec rm -f -- {} ;,Browser extension Drakon dropper,Attack 0,file: /etc/ld.so.cache -> subject: /usr/bin/find | find /var/crash/. ! -name . -prune -type f ( ( -size 0 -a ! -name *.upload* ) -o -mtime +7 ) -exec rm -f -- {} ;,etc/ld.so.cache -> bin/find,"file:* etc/ld.so.cache
-> process: bin/find",1
Non-leaky selected,FN,FN,EVENT_OPEN,file->subject,src,file: /var/log/wdev,subject: /home/admin/profile (deleted) | /home/admin/profile,Browser extension Drakon dropper,Attack 0,file: /var/log/wdev -> subject: /home/admin/profile (deleted) | /home/admin/profile,log/wdev -> admin/profile (deleted),"file:* log/wdev
-> process: admin/profile (deleted)",1
Non-leaky selected,FN,FN,EVENT_OPEN,file->subject,src,file: /tmp/memtrace.so,subject: /etc/firefox/native-messaging-hosts/gtcache | ./gtcache,Browser extension Drakon dropper,Attack 0,file: /tmp/memtrace.so -> subject: /etc/firefox/native-messaging-hosts/gtcache | ./gtcache,tmp/memtrace.so -> native-messaging-hosts/gtcache,"file:* tmp/memtrace.so
-> process: native-messaging-hosts/gtcache",1
Non-leaky selected,FN,FN,EVENT_OPEN,file->subject,dst,file: /usr/share,subject: /home/admin/clean (deleted) | /home/admin/clean,Firefox backdoor Drakon in-memory,Attack 1,file: /usr/share -> subject: /home/admin/clean (deleted) | /home/admin/clean,usr/share -> admin/clean (deleted),"file: usr/share
-> process:* admin/clean (deleted)",1
Non-leaky selected,FN,FN,EVENT_READ,file->subject,dst,file: /proc/1226/maps,subject: /etc/firefox/native-messaging-hosts/gtcache | ./gtcache,Browser extension Drakon dropper,Attack 0,file: /proc/1226/maps -> subject: /etc/firefox/native-messaging-hosts/gtcache | ./gtcache,1226/maps -> native-messaging-hosts/gtcache,"file: 1226/maps
-> process:* native-messaging-hosts/gtcache",1
Non-leaky selected,FN,FN,EVENT_READ,file->subject,dst,file: /proc/13776/maps,subject: /etc/firefox/native-messaging-hosts/gtcache | ./gtcache,Browser extension Drakon dropper,Attack 0,file: /proc/13776/maps -> subject: /etc/firefox/native-messaging-hosts/gtcache | ./gtcache,13776/maps -> native-messaging-hosts/gtcache,"file: 13776/maps
-> process:* native-messaging-hosts/gtcache",1
Non-leaky selected,FN,FN,EVENT_READ,file->subject,dst,file: /proc/14204/maps,subject: /etc/firefox/native-messaging-hosts/gtcache | ./gtcache,Browser extension Drakon dropper,Attack 0,file: /proc/14204/maps -> subject: /etc/firefox/native-messaging-hosts/gtcache | ./gtcache,14204/maps -> native-messaging-hosts/gtcache,"file: 14204/maps
-> process:* native-messaging-hosts/gtcache",1
Non-leaky selected,FN,FN,EVENT_READ,file->subject,dst,file: /proc/14228/maps,subject: /etc/firefox/native-messaging-hosts/gtcache | ./gtcache,Browser extension Drakon dropper,Attack 0,file: /proc/14228/maps -> subject: /etc/firefox/native-messaging-hosts/gtcache | ./gtcache,14228/maps -> native-messaging-hosts/gtcache,"file: 14228/maps
-> process:* native-messaging-hosts/gtcache",1
Non-leaky selected,FN,FN,EVENT_READ,file->subject,dst,file: /sys/devices/system/cpu/online,subject: /home/admin/clean,Firefox backdoor Drakon in-memory,Attack 1,file: /sys/devices/system/cpu/online -> subject: /home/admin/clean,cpu/online -> admin/clean,"file: cpu/online
-> process:* admin/clean",1
Non-leaky selected,FN,FN,EVENT_READ,file->subject,dst,file: /sys/devices/system/cpu/online,subject: /home/admin/profile,Firefox backdoor Drakon in-memory,Attack 1,file: /sys/devices/system/cpu/online -> subject: /home/admin/profile,cpu/online -> admin/profile,"file: cpu/online
-> process:* admin/profile",1
Non-leaky selected,FN,FN,EVENT_READ,file->subject,dst,file: /sys/devices/system/cpu/online,subject: /etc/firefox/native-messaging-hosts/gtcache | ./gtcache,Browser extension Drakon dropper,Attack 0,file: /sys/devices/system/cpu/online -> subject: /etc/firefox/native-messaging-hosts/gtcache | ./gtcache,cpu/online -> native-messaging-hosts/gtcache,"file: cpu/online
-> process:* native-messaging-hosts/gtcache",1
Non-leaky selected,FN,FN,EVENT_READ,file->subject,src,file: /dev/glx_alsa_675,subject: /usr/bin/fluxbox | fluxbox,Firefox backdoor Drakon in-memory,Attack 1,file: /dev/glx_alsa_675 -> subject: /usr/bin/fluxbox | fluxbox,dev/glx_alsa_675 -> bin/fluxbox,"file:* dev/glx_alsa_675
-> process: bin/fluxbox",1
Non-leaky selected,FN,FN,EVENT_READ,file->subject,dst,file: /dev/urandom,subject: /home/admin/Downloads/firefox/firefox | /usr/bin/firefox,Browser extension Drakon dropper,Attack 0,file: /dev/urandom -> subject: /home/admin/Downloads/firefox/firefox | /usr/bin/firefox,dev/urandom -> firefox/firefox,"file: dev/urandom
-> process:* firefox/firefox",1
Non-leaky selected,FN,FN,EVENT_READ,file->subject,dst,file: /etc/passwd,subject: /home/admin/clean (deleted) | /home/admin/clean,Firefox backdoor Drakon in-memory,Attack 1,file: /etc/passwd -> subject: /home/admin/clean (deleted) | /home/admin/clean,etc/passwd -> admin/clean (deleted),"file: etc/passwd
-> process:* admin/clean (deleted)",1
Non-leaky selected,FN,FN,EVENT_READ,file->subject,dst,file: /etc/passwd,subject: /home/admin/profile (deleted) | /home/admin/profile,Firefox backdoor Drakon in-memory,Attack 1,file: /etc/passwd -> subject: /home/admin/profile (deleted) | /home/admin/profile,etc/passwd -> admin/profile (deleted),"file: etc/passwd
-> process:* admin/profile (deleted)",1
Non-leaky selected,FN,FN,EVENT_READ,file->subject,src,file: /var/log/xdev,subject: /home/admin/profile (deleted) | /home/admin/profile,Browser extension Drakon dropper; Firefox backdoor Drakon in-memory,Multiple attacks,file: /var/log/xdev -> subject: /home/admin/profile (deleted) | /home/admin/profile,log/xdev -> admin/profile (deleted),"file:* log/xdev
-> process: admin/profile (deleted)",1
Non-leaky selected,FN,FN,EVENT_READ,file->subject,src,file: /etc/firefox/native-messaging-hosts/passwordfile.dat,subject: /home/admin/Downloads/firefox/firefox | /usr/bin/firefox,Browser extension Drakon dropper,Attack 0,file: /etc/firefox/native-messaging-hosts/passwordfile.dat -> subject: /home/admin/Downloads/firefox/firefox | /usr/bin/firefox,native-messaging-hosts/passwordfile.dat -> firefox/firefox,"file:* native-messaging-hosts/passwordfile.dat
-> process: firefox/firefox",1
Non-leaky selected,FN,FN,EVENT_READ,file->subject,dst,file: /lib/x86_64-linux-gnu/libc-2.15.so,subject: /etc/firefox/native-messaging-hosts/pass_mgr | /etc/firefox/native-messaging-hosts/pass_mgr /home/admin/.mozilla/native-messaging-hosts/pass_mgr.json,Browser extension Drakon dropper,Attack 0,file: /lib/x86_64-linux-gnu/libc-2.15.so -> subject: /etc/firefox/native-messaging-hosts/pass_mgr | /etc/firefox/native-messaging-hosts/pass_mgr /home/admin/.mozilla/native-messaging-hosts/pass_mgr.json,x86_64-linux-gnu/libc-2.15.so -> native-messaging-hosts/pass_mgr,"file: x86_64-linux-gnu/libc-2.15.so
-> process:* native-messaging-hosts/pass_mgr",1
Non-leaky selected,FN,FN,EVENT_RECVFROM,netflow->subject,dst,netflow 128.55.12.110:44354->146.153.68.151:80,subject: /home/admin/Downloads/firefox/firefox | /usr/bin/firefox,Firefox backdoor Drakon in-memory,Attack 1,netflow 128.55.12.110:44354->146.153.68.151:80 -> subject: /home/admin/Downloads/firefox/firefox | /usr/bin/firefox,netflow 128.55.12.110:44354->146.153.68.151:80 -> firefox/firefox,"netflow: netflow 128.55.12.110:44354->146.153.68.151:80
-> process:* firefox/firefox",1
Non-leaky selected,FN,FN,EVENT_RECVFROM,netflow->subject,dst,netflow 128.55.12.110:44411->146.153.68.151:80,subject: /home/admin/Downloads/firefox/firefox | /usr/bin/firefox,Firefox backdoor Drakon in-memory,Attack 1,netflow 128.55.12.110:44411->146.153.68.151:80 -> subject: /home/admin/Downloads/firefox/firefox | /usr/bin/firefox,netflow 128.55.12.110:44411->146.153.68.151:80 -> firefox/firefox,"netflow: netflow 128.55.12.110:44411->146.153.68.151:80
-> process:* firefox/firefox",1
Non-leaky selected,FN,FN,EVENT_SENDTO,subject->netflow,dst,subject: /home/admin/profile (deleted) | /home/admin/profile,netflow 128.55.12.110:45668->161.116.88.72:80,Firefox backdoor Drakon in-memory,Attack 1,subject: /home/admin/profile (deleted) | /home/admin/profile -> netflow 128.55.12.110:45668->161.116.88.72:80,admin/profile (deleted) -> netflow 128.55.12.110:45668->161.116.88.72:80,"process: admin/profile (deleted)
-> netflow:* netflow 128.55.12.110:45668->161.116.88.72:80",1
Non-leaky selected,FN,FN,EVENT_SENDTO,subject->netflow,dst,subject: /usr/bin/fluxbox | fluxbox,netflow 128.55.12.110:33100->141.43.176.203:80,Firefox backdoor Drakon in-memory,Attack 1,subject: /usr/bin/fluxbox | fluxbox -> netflow 128.55.12.110:33100->141.43.176.203:80,bin/fluxbox -> netflow 128.55.12.110:33100->141.43.176.203:80,"process: bin/fluxbox
-> netflow:* netflow 128.55.12.110:33100->141.43.176.203:80",1
Non-leaky selected,FN,FN,EVENT_SENDTO,subject->netflow,dst,subject: /usr/bin/fluxbox | fluxbox,netflow 128.55.12.110:33157->141.43.176.203:80,Firefox backdoor Drakon in-memory,Attack 1,subject: /usr/bin/fluxbox | fluxbox -> netflow 128.55.12.110:33157->141.43.176.203:80,bin/fluxbox -> netflow 128.55.12.110:33157->141.43.176.203:80,"process: bin/fluxbox
-> netflow:* netflow 128.55.12.110:33157->141.43.176.203:80",1
Non-leaky selected,FN,FN,EVENT_SENDTO,subject->netflow,dst,subject: /home/admin/Downloads/firefox/firefox | /usr/bin/firefox,netflow 128.55.12.110:44411->146.153.68.151:80,Firefox backdoor Drakon in-memory,Attack 1,subject: /home/admin/Downloads/firefox/firefox | /usr/bin/firefox -> netflow 128.55.12.110:44411->146.153.68.151:80,firefox/firefox -> netflow 128.55.12.110:44411->146.153.68.151:80,"process: firefox/firefox
-> netflow:* netflow 128.55.12.110:44411->146.153.68.151:80",1
Non-leaky selected,FN,FN,EVENT_SENDTO,subject->netflow,dst,subject: /var/log/mail,netflow 128.55.12.110:43730->149.52.198.23:80,Browser extension Drakon dropper,Attack 0,subject: /var/log/mail -> netflow 128.55.12.110:43730->149.52.198.23:80,log/mail -> netflow 128.55.12.110:43730->149.52.198.23:80,"process: log/mail
-> netflow:* netflow 128.55.12.110:43730->149.52.198.23:80",1
Non-leaky selected,FP,FP,EVENT_EXECUTE,file->subject,dst,file: /home/admin/Downloads/firefox/firefox,subject: /home/admin/Downloads/firefox/firefox | /usr/bin/firefox,benign,benign,file: /home/admin/Downloads/firefox/firefox -> subject: /home/admin/Downloads/firefox/firefox | /usr/bin/firefox,firefox/firefox -> firefox/firefox,"file: firefox/firefox
-> process:* firefox/firefox",409
